,url,label
0,genealogytrails.com/geo/clinch/births-1928.htm,good
1,wn.com/Otto_Bruckner,good
2,reunion.com/joannaruiz/,good
3,lindquiststudios.com/RESUMES/Chronology.htm,good
4,kdl.kyvl.org/static/drf/drf1960s/drf1960s_KUK-drf1967060601.html,good
5,spoke.com/dir/p/shaughnessy/mike,good
6,alexandersokolovski.fastpage.name/,good
7,en.wikipedia.org/wiki/Chris_Pitman,good
8,youtube.com/watch?v=lN6WPlljb3Y,good
9,chinahush.com/2010/08/27/man-of-chinese-descent-in-new-zealand-wears-poster-calls-chinese-pigs/,good
10,youtube.com/watch?v=SCV_EbSeVlk,good
11,scholarselect.com/scholarships/713-2011---marcus-foster-education-fund,good
12,filmaffinity.com/es/search.php?stype=director&stext=Spike+Lee,good
13,democratandchronicle.com/article/20111108/NEWS01/111108021/Prison-punishes-cop-killer-Ralph-Bucky-Phillips-breaking-rules,good
14,chacha.com/question/how-long-is-the-trans-canada-highway,good
15,prsearch.com/michigan/osceola.htm,good
16,myspace.com/russmey,good
17,blogs.montrealgazette.com/2011/05/14/laying-it-bare-an-interview-with-chester-brown/,good
18,youtube.com/watch?v=v7OwZVbpSEQ,good
19,madaan.com/indiasubsidiary.html,good
20,census-info.us/show/BOWSER/,good
21,articles.burbankleader.com/2000-06-24/news/export16889_1_avecilla,good
22,hotdogshops.com/ME-ND.html,good
23,construction-in-america.com/goods/Plaster/,good
24,justag.com/dir/Ag_Buildings/Missouri/,good
25,mbd.scout.com/mb.aspx?s=157&f=2977,good
26,ontariogenealogy.com/p_ancestor.html,good
27,sportspyder.com/players/8093-joey-mormina/news,good
28,lakevermilionresorts.com/,good
29,marcospecialties.com/storeitems.asp?game=Chicago%20Coin&Chicago%20Coin=RED%20BARON%20(Blue%20Max),good
30,press.uillinois.edu/books/catalog/42qgp7tm9780252073885.html,good
31,mdguidelines.com/hemophilia-a,good
32,desjardins.com/en/votre_caisse/difference/jeunesse.jsp?transit=81570026,good
33,123people.ca/s/leslie+ruggles,good
34,evancarmichael.com/Famous-Entrepreneurs/1558/summary.php,good
35,francoisaubin.com/,good
36,ca.linkedin.com/pub/serge-cote/2/9a0/a98,good
37,people.famouswhy.com/charlie_mack/,good
38,an8id-the-2nd.livejournal.com/,good
39,reportlinker.com/p0181137/European-Pulp-Paper-Machinery-Industry.html,good
40,sapphicerotica.com/tourlg/samples/aac.html,good
41,locktrack.com/public/reports/harney_or_ilist.html,good
42,facebook.com/stlouispark,good
43,mcalcio.com/top-100-soccer-players-ever-by-the-association-of-football-statisticians/,good
44,artnet.com/artists/harry-bright-2/past-auction-results,good
45,keellssuper.com/,good
46,utrockets.com/ViewArticle.dbml?DB_OEM_ID=18000&ATCLID=3705874,good
47,blockbuster.com/browse/catalog/movieDetails/155457,good
48,en.wikipedia.org/wiki/Garret_Hobart,good
49,mycheapapartments.com/Oakland-California,good
50,cornerstonepromotion.com/theplayer/038/,good
51,ebay.com/sch/i.html?_nkw=rory+calhoun&_frs=1,good
52,whitehouse.gov/about/presidents/benjaminharrison/,good
53,en.wikipedia.org/wiki/Oakland_Zoo,good
54,restaurantkyoto.com/,good
55,myspace.com/victordavisfilm,good
56,ramroc.org.au/,good
57,corporationwiki.com/people/index.aspx/D/26/36/,good
58,profilekiss.com/images/1/anke+engelke.html,good
59,lockerz.com/s/152256331,good
60,nytimes.com/1988/05/11/obituaries/richard-b-ogilvie-is-dead-at-65-illinois-governor-from-68-to-72.html,good
61,en.wikiquote.org/wiki/Supernatural_(TV_series),good
62,en.wikipedia.org/wiki/America_First_Credit_Union,good
63,kellyjane.deviantart.com/,good
64,eliteprospects.com/player.php?player=23540,good
65,youtube.com/watch?v=jd9xU8cw1JE,good
66,usbasket.com/ncaa1/exseasons.asp?Conf=Atl10&DFile=Atl10&Season=2010-2011,good
67,guitarpartsusa.com/,good
68,southcoasttoday.com/apps/pbcs.dll/article?AID=/20110209/NEWS/102090338/-1/NEWSMAP,good
69,spokeo.com/Robert+Gula,good
70,amazon.com/Stalling-Project-Music-Warner-Cartoons-1936-1958/dp/B00123FHO8,good
71,longisland.blockshopper.com/property/47-28-89-050-034-3000-300-016-0000/82_moffitt/,good
72,absoluteastronomy.com/topics/University_of_Michigan,good
73,sexycelebritygallery.com/naked/Laurence-Leboeuf.html,good
74,thecanadianencyclopedia.com/PrinterFriendly.cfm?Params=J1ARTJ0000639,good
75,thecanadiancharger.com/page.php?id=5&a=111,good
76,pdfgeni.com/book/ken-Gordon-England-pdf.html,good
77,newalbany.areaconnect.com/,good
78,en.wikipedia.org/wiki/Terry_Blair_(serial_killer),good
79,normanchryslerjeepdodge.com/,good
80,dipity.com/timeline/Hitomi-Star/,good
81,plaxo.com/directory/P/48/15/index.html,good
82,caselaw.findlaw.com/hi-supreme-court/1026283.html,good
83,tmz.com/person/jason-reitman/,good
84,cduniverse.com/alys-robi-chica-chica-boum-chic-lyrics-16093872.htm,good
85,opinion.financialpost.com/2010/08/11/stephen-jarislowsky-is-this-a-solution-to-the-problem/,good
86,talk-sports.net/nfl/girlfriend.aspx/Reggie_Brown,good
87,california-injury-lawyer-blog.com/2011/06/vacaville-woman-critically-injured-in-rear-end-crash-on-interstate-80.html,good
88,kansascitykansan.com/tags/accidents,good
89,articles.sfgate.com/2010-05-07/bay-area/20887999_1_buildings-at-stanford-university-grave-site-lafayette-square,good
90,en.wikipedia.org/wiki/Category:Cities_in_Kentucky,good
91,osgov.com/,good
92,theasianentertainmentportal.blogspot.com/,good
93,oursportscentral.com/services/releases/?id=3974778,good
94,en.wikipedia.org/wiki/Steve_Dubinsky,good
95,civilwartalk.com/forums/showthread.php?203362-eBay-Auction-The-1955-Children-s-Classic-1st-DJ-The-Civil-War-by-Fletcher-Pratt-Il,good
96,associationfootball.wikia.com/wiki/Striker,good
97,clickwrestle.com/category/wrestlers/vanessa-kraven,good
98,manta.com/c/mm8dpw3/the-mattatall-company,good
99,michaelbrandeburg.com/,good
100,hillmenmessenger.com/,good
101,linkedin.com/pub/rich-nye/15/582/422,good
102,lotsofessays.com/viewpaper/1681954.html,good
103,sumotorrent.com/en/details/3005853/Misstress-Barbara-Im-No-Human-(2009).html,good
104,ca.linkedin.com/pub/sylvie-comtois/20/977/59,good
105,disney-xd-com-kid-vs-kat.gamesfree.me/,good
106,beenverified.com/p/laura+willis,good
107,tarlton.webhost.utexas.edu/innocence/subject.cfm?subject=1,good
108,bluesworld.com/testament.html,good
109,pittsburgh.about.com/od/pennsylvania_map/Pennsylvania_Maps_Geography_Roads_Cities_Counties_of_PA.htm,good
110,discogs.com/Deftones-Saturday-Night-Wrist/master/46848,good
111,midi.homemusician.net/s/survivor/eye_of_the_tiger.html,good
112,answers.yahoo.com/question/index?qid=20080927114454AA8qGjP,good
113,entomama.com/2011/11/03/team-retching/,good
114,biomedexperts.com/Profile.bme/416043/Kleber_G_Franchini,good
115,culinate.com/user/Linda+Colwell,good
116,thefreelibrary.com/Video+modeling+for+individuals+with+autism%3a+a+review+of+model+types...-a0172179740,good
117,wikinvest.com/stock/Shanda_Interactive_Entertainment_(SNDA),good
118,redhotjazz.com/eho.html,good
119,twitter.com/archerconsult,good
120,ottawa.darcymcgees.com/,good
121,unm.edu/libraries/,good
122,treasuresof.com/Listing.aspx?catId=2&state=Minnesota,good
123,veromi.com/David-Braley.aspx,good
124,biggamehunt.net/sections/Quebec,good
125,amazon.com/Circus-Ghosts-Barbara-Ewing/dp/1847442048,good
126,infodepot.org/obits/1960s/obit60sl.htm,good
