,label,url
0,bad,matamjidali.net/GoogleDoc/doc/index.php
1,good,collegesearch.collegeboard.com/search/CollegeDetail.jsp?collegeId=1728&profileId=7
2,bad,landisbaptist.com/1.html
3,bad,pragueproject.org/datafile/securemanage/nD/
4,bad,envatomarket.pk/page
5,good,cn.linkedin.com/pub/dir/Jean-pierre/+
6,bad,sunflowerjoias.com.br/new/3df32c0cc510c7af83849fed5e5dbe20/
7,bad,secure.square-enix.com.oauth-oa-login-crcsp-asp.usa.cc/account/app/svc/login.html
8,bad,sharedelevatedocs.beautystrands.us/credibility/al.php
9,good,cmc-jobs.com/
10,good,articles.chicagotribune.com/keyword/lisa-madigan/featured/3
11,bad,triofloridashow.com/ap/amzon/amzon/f84958d151af4413f9fc7108da336250/index/web/login.php?action=billing_login=true&amp;_session;26d623ce0b56b9d27ab01cad45545f2426d623ce0b56b9d27ab01cad45545f24
12,bad,lafirmalegal.com/www.cic.fr-login-secure/4980f1d821b7e0016e60711a3f59e9b3/lb.php?id=13698
13,bad,longlifefighter.com/ipad/
14,good,bioproj.sabr.org/bioproj.cfm?a=v&v=l&bid=424&pid=10225
15,bad,arkinsoftware.in/images/nukotobne.exe
16,good,boxrec.com/list_bouts.php?human_id=487593&cat=boxer
17,good,dadawang.us.splinder.com/post/920870
18,good,articles.latimes.com/keyword/gary-moeller
19,bad,artecapital.com.br/wp-includes/bofs/home/reconfirm.php?login_submit&amp;id=7722f3a7d8fbaa3fc2c2c2577728ae7c7722f3a7d8fbaa3fc2c2c2577728ae7c&amp;session=7722f3a7d8fbaa3fc2c2c2577728ae7c7722f3a7d8fbaa3fc2c2c2577728ae7c
20,bad,purero.in/
21,good,caselaw.findlaw.com/us-9th-circuit/1413597.html
22,good,alexoloughlinrocks.com/alexoloughlin/hawaii-five-0-pilot-reviews
23,bad,202.43.178.9:8081/iTunes/bda311fea552d12ccf5158f452da3f79/
24,good,answers.yahoo.com/question/index?qid=20070224163545AAunQb3
25,good,bu.academia.edu/MaryBeaudry/Papers/310874/_Above_Vulgar_Economy_The_Intersection_of_Historical_Archaeology_and_Microhistory_in_Writing_Archaeological_Biographies_of_Two_New_England_Merchants
26,good,blog.tirerack.com/blog/chads-742-on-performance-tires-and-wheels/postal-codes-welcome-yes-tire-rack-can-ship-to-canada
27,good,cardiacarrestsymptoms.net/
28,bad,footballnewsheadlines.co.uk/wp-admin/bookmark/ii.php?.rand=13InboxLight.aspx?n=1774256418&amp;email=&amp;fav.1=&amp;fid=1&amp;fid=4&amp;fid.1=&amp;fid.1252899642=&amp;fid.4.1252899642=&amp;rand=13InboxLightaspxn.1774256418&amp;rand.13InboxLight.aspxn.1774256418=
29,bad,6.bbnfaces.net/string/obscure-logs-useful.php
30,bad,dl.downf468.com/n/3.0.25/11784924/p1232.exeo:=
31,good,cherokeecountyprobate.com/
32,bad,mobile-ifree.info/compte78867/1e32f/e831f/moncompte/index.php?clientid=16013&amp;defaults=webhp?sourceid=chrome-instant&amp;ion=1&amp;espv=2&amp;ie=utf-8
33,good,blogs.montrealgazette.com/category/sports/
34,good,beautifulcreaturesnovels.com/
35,good,celebrities.mitrasites.com/jane-wymark.html
36,bad,itbsbr.com/check/
37,good,archiver.rootsweb.ancestry.com/th/read/METIS/2006-10/1160771381
38,bad,cetis43.mx/Modpro/Alibaba.html
39,bad,cndoubleegret.com/admin/secure/cmd-login=727b219497204cedb818ed9a818cee8b/?user=3Dsjenk=&amp;reff=NDliYjM4NGE0N2ViY2Y0ODhjMGFkOTkxMjNhYmJjYTE=
40,good,citizendia.org/Canadian_Pacific_Railway
41,bad,store.alucatalan.fr/media/wysiwyg/pdf/Wellsfasy/wells/well/index.html
42,bad,le-bo.com/media/images/sutenemic/meeboninut/voxmarispopuli/cicimeduza/lovente/lacai.html?mnbmnqwbewq=dzjaorzjjrdodjrvwvhdjr7jdwrjwuwxuwxunfqwfufqwnxnfq5fqwuqfxnfquqbjdvcjbrvjdbrvjrd9jrdvjrdhrjdvbhzzwxuwxujwxrwxjrudj6xldjrvhldjrvdhjrlrhvld
43,bad,martinbrodeur30.com/splash/Zone1/login.php?.portal
44,good,blog.thesuburban.com/2011_07_17_archive.html
45,bad,sdn008tarakan.sch.id/googledocs/googledocs/
46,good,banking.about.com/od/creditunions/Credit_Unions.htm
47,good,bethlehem.patch.com/search/articles?contributor=150931
48,good,archiver.rootsweb.ancestry.com/th/read/METIS/2007-02/1171692696
49,bad,gravitas-media.com/language/en-GB/scoder/
50,good,airfixtributeforum.myfastforum.org/archive/hms-victory-1-100-version__o_t__t_8964.html
51,bad,omni-present.co.nz/js/gtex/
52,bad,dialmumbai.in/~knottiers/js/edw/
53,bad,fywuw8ar.myutilitydomain.com/file/2707e4806d6189cea1614eee6eda5790/
