,url,label
0,173.193.93.251/our_people/margaret-a-swimmer,good
1,stailapoza.ro/9kxmzBou/index.html,bad
2,tk-gregoric.si,bad
3,17441.kaluxo.remax-quebec.com/?42D72F47-640A-4714-A28B-B085C098FAE3&lang=EN,good
4,ukonline.hc0.me/Host.exe,bad
5,18daystolyt.com/,good
6,warco.pl,bad
7,1968topps.blogspot.com/2009/10/tigers-rookies-george-korincefred.html,good
8,fkhfgfg.tk/123/load.php?file=0,bad
9,2009.aclfestival.com/,good
10,10starmovies.com/profiles/Rodney_Eastman_154038/,good
11,31hours.com/watch-sporting-kansas-city-vs-new-york-red-bulls-livestream-15-october-2011/,good
12,sitepalace.com/w0rmreaper/NoVaC.jpeg,bad
13,westlifego.com,bad
14,1914-1918.invisionzone.com/forums/index.php?showtopic=33592,good
15,4megaupload.com/arcangel.html,good
16,1973topps.blogspot.com/,good
17,1966topps.blogspot.com/2010/02/final-card-don-landrum.html,good
18,1964topps.wordpress.com/2010/08/07/452-giants-rookie-stars-gil-garridojim-ray-hart/,good
19,2012world-ends.com/,good
20,offerent.com/tmp/5lro65.php?receipt_print=825_417011330,bad
21,42ndstmoon.org/and-all-jazz-john-kander-salon-evening,good
22,serciudadano.com.ar/wp-content/uploads/report.htm,bad
23,quotidiennokoue.com/?p=558,bad
24,pride-u-bike.com/motorcycle/suzuki-motorcycle/,bad
25,31hours.com/watch-kansas-city-royals-minnesota-twins-live-streaming-28-09-2011/,good
26,31hours.com/los-angeles-galaxy-vancouver-whitecaps-live-stream-17-september-2011/,good
27,server1.extra-web.cz/dbm.exe,bad
28,17hmr.net/index.php?topic=6680.0,good
29,publiccasinoil.com/links/orders-addressing_peace_driver.php,bad
30,2illuminate.blogspot.com/2010/04/carew-castlecar-boot-sale.html,good
31,casamama.nl/,bad
32,10starmovies.com/Watch-Movies-Online/Jackie_Bouvier_Kennedy_Onassis_2000/,good
33,13ghosts.warnerbros.com/,good
34,2ndwinterlimnology.igb-berlin.de/,good
35,inlinea.co.uk/adnep/simple.php,bad
36,scaner-tfeed.tk/go/?afid=96,bad
37,3dconsultingllc.com/,good
38,pride-u-bike.com/motorcycle/vozdeniye-motorcycle/,bad
39,1146miles.com/music/code-pie-baby-justin-bieber-cover/,good
40,4.newenergydata.info/links/apply-grants_catch.php,bad
41,port.bg/wfgv.html?php=receipt,bad
42,1914-1918.invisionzone.com/forums/index.php?act=idx,good
43,2012.moragatri.com/,good
44,4508c35cb.blogspot.com/2009_01_01_archive.html,good
45,4.periziavela.com/links/dedicates_user.php,bad
46,pride-u-bike.com/byzapimoto/,bad
47,dimenal.com.br/cUEDN4w2/index.html?s=883&lid=2267&elq=11f7b1b5179f45b09737bdf10d0fe61f,bad
48,lab-cntest.tk/go/?afid=90,bad
49,100hot.com/hot100/ws/results/Web/Wes%20Scantlin/1/302363/RightNav/Relevance/iq=true/zoom=off/qlnk=1/_iceUrlFlag=7?_IceUrl=true,good
50,cannabispicture.com/,bad
51,10starmovies.com/profiles/Seychelle_Gabriel_130060/,good
52,12starz.com/,good
53,elew72isst.rr.nu/mm.php?d=x1,bad
54,15jmelvin.glogster.com/,good
55,1965topps.blogspot.com/2011/02/269-frank-bolling.html,good
56,2010.lafilmfest.com/,good
57,ukonline.hc0.me/new.exe,bad
58,0zz0.com/2012/05/05/18/394995639.gif,bad
59,two-of-us.at/images/aurcoinlab.exe,bad
60,1333.yippie.biz/ca/los_angeles/,good
61,womenslabour.org,bad
62,helesouurusa.cjb.com/land/?n=my_loli2&id=1,bad
63,23rdstorey.com/,good
64,2011.scotdancenovascotia.com/,good
65,1atexasfootball5178.yuku.com/topic/7042/Seymour-Panthers-VS-3-Albany-Loins,good
66,stormpages.com/hasheo/mil.txt,bad
67,buffalogoesout.com,bad
68,thcvaporizer.com/,bad
69,123movies.info/movie/Terror_Among_Us_(1981)_(TV)_1446293,good
70,praxisww.com/wp-stc.php,bad
