,label,url
0,bad,kiwipainting.co.nz/quotegenerator/quoteimages/sample/alibaba/alibaba/index.php?email=abuse@hanii.com
1,good,azstuntspecialties-larkinracing.com/az_stunts-resume
2,good,archiver.rootsweb.ancestry.com/th/read/METIS/2007-01/1168037556
3,bad,xyleo.co.uk/new/txzx
4,bad,eshopsstar.com/lookingforpcaidonline/
5,good,antiochfamilylifecenter.org/
6,good,1146miles.com/music/code-pie-baby-justin-bieber-cover/
7,bad,beewizards.com/js/Arch/Arch/Archive
8,bad,sukel.info/atol/public.html
9,bad,fantomlux.com/components/com_poll/models/eyhghhasa/s/cadastro.php
10,bad,fai.arangbriket.com/pagedoc/0fc13be7be64b7a997aa362a2f74859e
11,good,articles.latimes.com/keyword/babe-laufenberg/featured/2
12,bad,ilomart.com/image/home/step1.php
13,good,bethunec.tripod.com/origbethune1.htm
14,bad,martinpersonnel.com/c/
15,bad,dizaynasansor.com.tr/wp-includes/css/par/par/
16,good,answers.yahoo.com/question/index?qid=20080414200217AAYeim1
17,good,andrews-mcmeel-art.amazonwebstore.com/CALVIN-HOBBES-ART-DANCING/M/B002WAZOXY.htm?traffic_src=froogle
18,bad,svetyivanrilski.com
19,good,achealthcare.org/
20,good,answers.yahoo.com/question/index?qid=20071118175749AAexbzM
21,good,beemp3.com/download.php?file=4108983&song=Spun
22,good,baseball.wikia.com/wiki/Nickname
23,good,articles.nydailynews.com/2011-06-23/sports/29714760_1_anthony-morrow-king-and-coach-marshon-brooks
24,bad,arthadiro.com/libraries/
25,good,barstowpta.org/
26,bad,zags.sorlovka.ru/counter/2.bin
27,bad,alghiyath.ae/nadelloandco/
28,bad,zmotors.com/nokd/products/viewer.php?l=_JeHFUq_VJOXK0QWHtoGYDw_Product-UserID
29,bad,fitofarmacija.si/kul/Gdrived/e760ef7d2276521ac45de603380e7dd2
30,bad,bittytag.com/file/files/
31,bad,booktoshirdi.com/js/o/oney/mod_weblinks/
32,good,allied-interstate.pissedconsumer.com/
33,bad,universoslackline.com.br/admin/TXpFeE16ZzBPRGt3TWpNPQ==?login=&amp;.verify?service=mail/?&amp;rand.UTRNakUyTkRRPQ=
34,good,bayareairis.org/mitchell.html
35,good,ateupwithmotor.com/luxury-and-personal-luxury-cars/95-oldsmobile-toronado-1966-1970.html
36,good,angrychairmusic.com/
