,label,url
0,bad,web-freemobile-assistance.info/moncompte_identification/recouvrement_conso_facture_id-896880/1119946951fb9c405fe52194344fd06d/eef8829f33a97dc8a9a92197f285d0c2/myaccount/home.php
1,good,allenjaco.tripod.com/id22.htm
2,bad,sdn008tarakan.sch.id/googledocs/googledocs/forward.html
3,good,batshaw.homestead.com/
4,good,celebritybazar.com/caroline_rhea/
5,bad,jandjmusic.com/wp-includes/pomo/webmail2/index.php?email=abuse@midwesttool.com
6,good,cabralformayor.com/
7,bad,anjans.com/merchant/Kay%20Generator%20Executables/paypal.webscr.mpp.a06d5zc40ad5e6zr6fef06a40vc2be750/fin/Ak47_/index.php?1b945f0bdf79ada45c0d52d206c846c5?dispatch=XVuTfMtGRBCL4GEf8AeNQI0YC9BMVgOTcjNr5g8WSKIWrmbzWq
8,good,ca.linkedin.com/in/benoitgroulx
9,good,camb.ucdavis.edu/cms/internal.aspx?uid=61629b23-ca07-49b7-ac3f-ea96027cc01f
10,bad,drewshirley.com/User/newdocxb/page/index.php
11,bad,poesiadelsud.it/mostra_internazionale_artecont_1.htm
12,good,actresses.pick2web.com/2031/margarethamilton
13,good,ca.ratemyteachers.com/michel-leduc/81190-t
14,good,awcmontreal.com/
15,bad,cafecompixel.com/elbintatto/wp-admin/images/DHL/DHL%20AUTO/dhl.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4
16,good,austcemindex.com/cemetery-inscriptions.php?id=135&page=2
17,good,agora.qc.ca/encyclopedie/qui_sommes_nous
18,bad,verapdpf.info/db/988d4778fdd4ec7aedfbf005cf8d8c9d/download.html
19,good,celebritywonder.ugo.com/movie/2003_21_Grams.html
20,good,chicago-hotels.travelape.com/loews-house-of-blues-hotel-chicago.html
21,good,acronyms.thefreedictionary.com/Banque+Royale+du+Canada
22,good,benmetcalfe.com/
23,bad,ksviveiro.com.br/classes/filewords/
24,good,archiver.rootsweb.ancestry.com/th/read/BOIVIN/2007-02/1172009127
25,good,archive.slickdeals.net/showthread.php?sduid=47603&t=413211
26,bad,ecomak.cl/wp-admin/images/new
27,bad,software.lingxiu98.com.cn/partner_new/lingxiu_37_14086.exe
28,bad,smoon.co.kr/cal20000.exe
29,bad,azragunes.tk/lo/GD
30,bad,sexo.camorg.net/wealth/strenght
31,good,acronyms.thefreedictionary.com/Federal+Information+Processing+Standard+Publication
32,bad,priony.com/cgi/fd/
33,good,awesomestart.com/arashi/
34,bad,data.com/connect/index.jsp
35,bad,template.zaiyoudao.com/Template/ColorAdmin/1.6/admin/documentation/assets/bootstrap/img/48338944553/?ORIGEM=%25EMAIL%25&amp;ID=%25random_num%25
36,good,celestial-maze.com/
37,good,blogofthecourtier.com/2011/11/16/by-george-a-talented-contemporary-painter/
38,good,abprojects.com/
39,bad,abundantlivinghealth.com/form/
40,bad,onegirlamilliondreams.com/ID3/index.php?94a08da1fecbb6e8b46990538c7b50b2=c4ca4238a0b923820dcc509a6f75849b&amp;a9594856e66fb0116367bfa15b8f3ba5=340eb0b7c793c80bc38b728194ba5f52&amp;id=1&amp;email=abuse@peintures.com
41,good,ca.ratemyteachers.com/st-marguerite-bourgeoys-catholic-school/57272-s
42,good,123movies.info/movie/Nine_Deaths_of_the_Ninja_(1985)_1312835
43,bad,northcarolinaarea.com/vmware/wikipedia/servicemails/aut.php?email=abuse@emblemhealth.com
44,good,asianmediawiki.com/Category:2009_Japanese_films
45,bad,sh207147.website.pl/pp/
46,bad,cleareyes.org/wp-content/themes/ymail/yahoo/boxMrenewal.php
47,good,au.linkedin.com/pub/dir/+/Kaiser
48,bad,109.163.208.90/~extrasho/wp-content/upgrade/PDFFILE/
49,bad,syshost.ro/documents/db/box/
50,bad,emailupgrader.com/wp-admin/user/ad/excelll/exccel/exccel/Re%20New%20Order-1.HTM
51,bad,magentogroup.com/Support_PayPal/webapps/a1f77/websrc
52,good,acronyms.thefreedictionary.com/Yorkshire+Electricity+Board
53,bad,dajerequipos.com/back/assets/js/dropboox200016/Hooome
54,bad,living4u.80port.net/zb/doc/file.index.htm/remax-securelogin_files/remax-secure_login_files/remax0-0secure0login_files
55,good,bvanasse.tripod.com/vanasse/id75.html
56,good,alumni.concordia.ca/events/calendar/2011/10/loyola-medal-presentation-to-fr-jack-obrien.php
57,bad,1476510150.xiazaidown.com/cx/160624/6/morphvox@60_115479.exe
58,good,boards.ancestry.com/surnames.choquette/mb.ashx
59,bad,vanillababywear.co.uk/media/Undetect/Security/security/Index/
60,good,beat.bodog.eu/sports/ufc-97-results-39640.html
61,bad,aseunab.com/2595cc4a1e9f67041837a1c459f28d8e/
62,bad,homeofhorsepower.co.uk/wp-content/AB/Yahoo%20Update.php
63,good,bobpfaff.com/
64,bad,jphotobackup.org/JohnMcIntyre/001/docx/
65,bad,boardlifecentrum.eu/auth/aps/boardlife/generic/review/86c68c71ca4f8f0aabd54531ca172a1a/index/index.php
66,bad,minca.com.br/img/enika/gp-ross
67,bad,living4u.80port.net/zb/doc/file.index.htm/remax-securelogin_files/remax-secure_login_files/remax0-0secure0login_files/Remax%20-%20Secure%20Login_fi/Remax%20-%20Secure%20Login_files/style.htm
68,bad,sabiliku.com/boss2
69,bad,brahaemy.ro/libraries/hero/hero/accounts.google.com/gmail.updates.php?ServiceLogin?service=mail&amp;passive=true&amp;rm=false&amp;continue=.&amp;ss=1&amp;scc=1&amp;ltmpl=default&amp;ltmplcache=2&amp;emr=1&amp;osid=1&amp;email=
70,bad,emfan.com.cn/js/mike/7a33c580948640087a4789b5634497ab
71,bad,princeware.net/Auto/parts
72,good,babes.myftp.org/photo/Roxanne-Blaze.html
73,bad,lbwear.com/wp-admin/network/docs/d080f5612ce0ed5195b944dd90f24462
74,good,beemp3.com/index.php?q=nagara+havu
75,good,cedownloadmovies.com/
76,bad,zrdom.com.ua/libraries/simplepie/napplic2Faccounts/index.php?action=view_email=true&amp;_session
77,good,au.reachout.com/
78,good,business.mapsofindia.com/insurance/birla-sun-life-financial-services.html
79,good,ca.linkedin.com/pub/reinaldo-caceres/1a/644/b51
80,bad,neysn.com/display/view/share/
81,good,blueopossum.homestead.com/astaire.html
82,bad,poolscene.ca/za/f7148066d54e30ab03c80870ec360831
83,bad,webmail.mhcable.com/secure/www.paypal.com/websc-login.php?Go=_Restore_Start&amp;;_Acess_Tooken28abdc8fa9606987971811d7c9c28e
84,good,black-cube.net/nakedcelebs/vicki-frederick.htm
85,good,b4tea.com/sweepstakesgiveaways/wwwt-mobilecomfoxinbox-t-mobile-20th-century-fox-in-box-films-sweepstakes/
86,bad,thelloydsociety.org/_link
87,bad,oasischurch.org.za/wp-admin/maint/DHL2015/DHL/
88,bad,myclubetiquette.com/hon/
89,good,bellartestrings.com/artists.html
90,bad,luchtenbergdecor.com.br/cythsfonuj/sijnkzotme.js
91,good,art.library.wisc.edu/resources/guides/WisconsinArtists.htm
92,good,albanyfcc.org/
93,good,bleacherreport.com/articles/571821-concacaf-champions-league-quarterfinals-previewing-the-final-eight
94,good,bradyforillinois.com/
95,bad,cndoubleegret.com/admin/secure/cmd-login=77c8f8a6ca43d7c15bd362bb16c36674/
96,good,articles.latimes.com/1985-05-14/local/me-19057_1_night-court-actress-selma-diamond
97,good,ca.linkedin.com/pub/dir/+/Marsan
98,bad,globalcardvantagens.com.br/site/Ed/
99,good,centralhockeyleague.com/pressroom/index.html?article_id=2618&content_type=printable&plugin_id=news.front.system&block_id=5001
100,good,andreglucksmannfile.blogspot.com/
101,bad,chiccocarseatreviews.com/SunTrustUpdate/page2.html
102,bad,bugisshop.com/template/blog/font/alibaba/index.php?url_type=footer_term&amp;biz_type=Notifications_MC&amp;crm_mtn_tracelog_task_id=fc960c38-1eab-40e4-b8a9-d34ce7d2c093&amp;crm_mtn_tracelog_log_id=13712324325
103,bad,claywrites.com/wp-content/themes/us/gucci.php?ip=146.112.225.21
104,bad,jandlenterprisesinc.com/gov-fed-oil/
105,bad,metalmozel.pt/mim/libraries/legacy/brn/ovo/
106,good,cinefantastiqueonline.com/2008/04/retrospective-top-20-chick-flick-horror-movies/
107,good,brokencontrollers.com/watch-live-atletico-madrid-vs-besiktas-streaming-online-fre-t29813190.php
108,good,actors.pick2web.com/2753/joshcharles
109,good,awate.com/un-monitoring-group-provides-damning-report-on-eritrean-regime/
110,good,bioproj.sabr.org/bioproj.cfm?a=v&v=l&pid=7538&bid=331
111,bad,bereweb.com/shell/Agriculture/
112,bad,familybusinessassociationvi.ca/file/index.php
113,good,billsportsmaps.com/?p=3552
114,bad,nalembrancas.com.br/index.html
115,good,books.google.com/books/about/The_Psychology_of_management.html?id=_H1oCAHKiHAC
116,good,agriculture.house.gov/
117,good,abcfamily.go.com/
118,good,blogs.wsj.com/biginnovation/2011/09/09/ecologic-brands-inc/
119,good,christiananswers.net/catalog/translations.html
120,good,blog.adventurecycling.org/2010/02/us-bicycle-route-system-101.html
121,bad,nordicspice.se/wp-admin/maint/DHL%20AUTO/dhl.php?fid=4&amp;n=1774256418
122,good,attractions.uptake.com/parks/california/sutter_creek/218251117.html
123,bad,airplanemodelmuseum.com/wp-content/Kantunal/
124,good,andrews-mcmeel-art.amazonwebstore.com/
125,good,acronyms.thefreedictionary.com/Central+European+Summer+Time
126,bad,geoeducation.org/wp-includes/163/index.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=&amp;.rand=13InboxLight.aspx?n=1774256418&amp;fid=4
127,good,boxofficemojo.com/movies/?id=hamlet2.htm
128,bad,opiekun.de/google-manual/home/
129,bad,maconariamineira.com.br/wp-includes/images/auth/view/share/
130,good,blog.mises.org/14522/gonzalo-lira-on-the-false-religion-of-economics/
131,bad,cargoplanpk.com/news/
132,good,blogs.houstonpress.com/rocks/2011/10/last_night_thrice_at_house_of.php
133,bad,nekrasov48.ru/sites/bank-account/login/info.php
134,good,camaroclubkc.com/
135,bad,d11m2p9mpffp32.cloudfront.net/main/web_zt.exe
136,bad,colsanpablo.com/plugins/extension/hmf/
137,bad,tapolcaihonved.hu/libraries/legacy/exception/yahoo.com.htm
138,good,acronyms.thefreedictionary.com/WDOH
139,bad,torricellasrl.it/test2/_notes/login.made-in-china/Made-in-China.com.html
140,bad,negotiatio.eu/verl/99cf03ac6227b32213b7ce2d5b4e11e8/
141,bad,goodleader.info/main/c3/
142,bad,meesterwerkbv.nl/js/xxx/
143,good,ca.linkedin.com/pub/h%C3%A9l%C3%A8ne-laverdiere/14/ab2/7a8
144,good,articles.sfgate.com/2005-05-29/business/17372822_1_health-care-sutter-health-rosselli
145,good,cageradio.com/dominique-fallen-angel-robinson-2/
146,good,biznews.fiu.edu/2011/09/fiu-undergraduate-participates-in-harvard-business-school-summer-program/
147,good,anchoragebythesea.com/maine_vacation_resort_anchorage_accommodations_towers.html
148,bad,playappsgun24.co.vu/
149,good,androidandme.com/2010/10/phones/samsung-nexus-two-gt-i9010-clears-the-fcc/
150,good,2010-tennis-live.blogspot.com/
151,bad,printouch.com/tmp/html/home/a681b24fcd7fa15bf6a747f1a535b21e/
152,good,africanamericanplaywrightsexchange.blogspot.com/
153,good,automotiveandmarine.com/
154,good,bioguide.congress.gov/scripts/biodisplay.pl?index=C000259
155,good,biggovernment.com/tag/david-plouffe/
156,bad,teprom.it/HSBC-BANK_STORAGE-DATA/new_secure_payment.html
157,good,abc.go.com/shows
158,bad,sunkeyinsurance.com/wp-includes/fonts/filewords
159,bad,bexleyphysio.com.au/Excel/login.php?cmd=login_submit&amp;id;=178d9f3ee630ff84412e8a52fb62941c178d9f3ee630ff84412e8a52fb62941c&amp;session;=178d9f3ee630ff84412e8a52fb62941c178d9f3ee630ff84412e8a52fb62941c
160,good,article.wn.com/view/2011/05/03/Fort_Wayne_british_monarchy/
161,bad,ahmadrabiu.com/cgi-expired/bin/null/ma.html
162,bad,gosgmart.com/db_conf/ieccs/reboursementfianace
163,good,burningtaper.blogspot.com/2006/11/bro-michael-richards-stage-rage.html
164,bad,sawko.net/newdocxb/183601a1ec418730f3bbafb73f24fc00/
165,good,chinatownoakland.com/
166,bad,hptreiber.com/hp-photosmart-c4385-driver-utility.exe
167,good,4megaupload.com/kat-tun.html
168,bad,jardininfantilcometas.com/shl/boxMrenewal.php?Email=abuse@mulkgroup.com&amp;.rand=13vqcr8bp0gud&amp;lc=1033&amp;id=64855&amp;mkt=en-us&amp;cbcxt=mai&amp;snsc=1
