,url,label
0,cjad.com/CJADLocalNews/entry.aspx?BlogEntryID=10312645,good
1,people.famouswhy.com/Jacques_Rougeau_Jr_and_Nancy_Menard-r359275.html,good
2,thecanadianencyclopedia.com/index.cfm?PgNm=TCE&Params=M1ARTM0011334,good
3,creditcardfinder.com.au/,good
4,wesmirch.com/,good
5,twitter.com/LoMoMarlins,good
6,break.com/usercontent/2008/3/MEXICAN-BORDER-478255,good
7,myspace.com/patrickgodin/blog,good
8,youtube.com/watch?v=zuq0j8y3PFw,good
9,elegenda.sk/herci/s/,good
10,youtube.com/watch?v=uxRdopfdXY4,good
11,dlib.si/v2/Preview.aspx?URN=URN:NBN:SI:doc-1V5IZBAV,good
12,worldstadiums.com/europe/countries/united_kingdom.shtml,good
13,gaaan.kpmg.nl/events,good
14,hindilinks4u.net/?s=Farhan+Akhtar,good
15,switzergenealogy.com/headstones.php?country=Canada&tree=Switzer,good
16,logosjournal.com/camper.htm,good
17,en.wikipedia.org/wiki/Grady_Livingston,good
18,evri.com/person/terence-corcoran-0xb312e,good
19,sport-komplett.de/sport-komplett/sportarten/e/eishockey/hst/5.html,good
20,youtube.com/watch?v=lDRsufHYdmc,good
21,shop.mlb.com/product/index.jsp?productId=4249491,good
22,social.happytreefriends.com/,good
23,archdaily.com/63334/leti-360-studio-mumbai/,good
24,realtor.com/realestateagents/Anne-Lee-Stevens_Roanoke_VA_941566,good
25,hoursmap.com/b/post-office---jesse-m-donaldson-hours-kansas-city-mo-64153-b10018031,good
26,webhome.idirect.com/~letanu/baillon2/pafg82.htm,good
27,absoluteastronomy.com/topics/Peter_Lenkov,good
28,twobillsdrive.com/season/buffalo_bills_2008_schedule/,good
29,websters-online-dictionary.org/definitions/results?cx=partner-pub-0939450753529744%3Av0qd01-tdlq&cof=FORID%3A9&ie=UTF-8&q=results&sa=Search,good
30,wiki.answers.com/Q/FAQ/1937-11,good
31,spine-remodeling.com/,good
32,flickr.com/photos/jingqunluo/3666266146/,good
33,facebook.com/bowiefeathers,good
34,haram.wordpress.com/the-eminence-islam-attaches-to-women-by-harun-yahya/the-wifes-of-the-holy-prophet-of-allah-muhammadr-rasoolullah-saws/,good
35,villanova.com/sports/m-baskbl/spec-rel/nova-m-baskbl-spec-rel.html,good
36,cancosa.org/chinese.htm,good
37,myspace.com/3126479,good
38,mylife.com/zip-codes/b3-18477/,good
39,commercialappeal.com/news/2008/feb/27/isaac-tigrett-responds-brass-note-ceremony/,good
40,facebook.com/patrick.bordeleau,good
41,iowahighways.home.mchsi.com/highways/i-80.html,good
42,codes.ohio.gov/orc,good
43,movies.nytimes.com/person/113403/Saul-Swimmer,good
44,cookcreditunion-mn.com/,good
45,giantbomb.com/united-states-army/92-5271/,good
46,prohockeynews.com/hockey/publish/ihl/index.shtml,good
47,facebook.com/people/Mario-Valery-Trabucco/1296499208,good
48,goodtimequebec.com/,good
49,blog.timesunion.com/hockey/atlantic-city-to-be-host-of-2012-ahl-all-star-game/9205/,good
50,blog.matchesfashion.com/,good
51,publicrecords.com/people-search-records/linda-helm,good
52,en.wikipedia.org/wiki/Jeanne-Le_Ber,good
53,idreamof.com/birth/oh.html,good
54,ehealthforum.com/health/retching-with-nausea-and-vomiting-t258271-a1.html,good
55,cascade1200.com/reports/bobbrouhard.html,good
56,news.nationalpost.com/2011/04/01/national-assembly-speaker-resigns-citing-%e2%80%98intimidation-abuse%e2%80%99/,good
57,quartzcrystalsingingbowl.com/,good
58,gw4.geneanet.org/pierfit?lang=en;m=P;v=francoise,good
59,sphsaa.org/class_profile.cfm?member_id=1610727,good
60,heavyharmonies.com/cgi-bin/glamcd.cgi?BandNum=511&CDName=Saints+and+Sinners,good
61,goodreads.com/author/show/234080.Karl_Stern,good
62,hotklix.com/submit/Sports/Other-Sports/UFC-124-Live-Stream_39,good
63,familyorigins.com/users/s/t/g/Bob--Stgelais/FAMO1-0001/d992.htm,good
64,star-daze.com/september_16.html,good
65,thebluegrassmusician.com/,good
66,linkedin.com/in/tjfitzsimmons,good
67,wysinger.homestead.com/kush.html,good
68,pitch.com/kansascity/the-kansas-city-zoological-park/Location?oid=2203358,good
69,legendsofhockey.net/LegendsOfHockey/jsp/SearchPlayer.jsp?player=14594,good
70,reunion.com/patriciaayala/,good
71,oak.edu/athletics/,good
72,eurohockey.com/player/510726-jimmy-mann.html,good
73,mylife.com/aldarsan3824v,good
74,123people.ca/s/mitchell+b+cohen,good
75,linkedin.com/company/amc-theatres,good
76,profilecanada.com/companydetail.cfm?company=116876_Borden_Ladner_Gervais_LLP_Toronto_ON,good
77,artandpopularculture.com/Patrick_Wymark,good
78,rockchalktalk.com/section/Basketball,good
79,absoluteastronomy.com/topics/Lew_Jenkins,good
80,huffingtonpost.com/2011/11/02/occupy-oakland-port_n_1072955.html,good
81,manta.com/c/mm4wwf6/glenn-b-cohen-cpa,good
82,rootsweb.ancestry.com/~ohpickaw/cemeteries/tarlton_cemetery.htm,good
83,destinationknowlton.com/2010/02/maurice-morris-croghan-embarrasses-town.html,good
84,downhilldefinition.web.fc2.com/manufacturers.html,good
85,deadline.com/2011/03/greg-berlanti-back-at-warner-bros-television-with-mega-deal/,good
86,prweb.com/releases/2010/06/prweb4156034.htm,good
87,amazon.com/Hot-Together-Pointer-Sisters/dp/B00000E69V,good
88,ezinearticles.com/?Showboat-Casino-Atlantic-City&id=1355076,good
89,wn.com/Lionel_Blair,good
90,carletonplacelocalhistory.wordpress.com/category/churches/,good
91,youtube.com/watch?v=7U3spArjhUA,good
92,vtors.com/Books_G.torrent,good
93,blockbuster.com/browse/catalog/movieDetails/91888,good
94,eliteprospects.com/player.php?player=95502,good
95,chakpak.com/celebrity/kangna-ranaut/wallpapers-photos/37176,good
96,pipl.com/directory/name/Kiernan/Carmel,good
97,epinions.com/review/Rasputin_Elem_Klimov/content_147419008644,good
98,green.autoblog.com/2008/12/28/burbank-getting-worlds-first-plug-in-hybrid-fuel-cell-bus/,good
99,babyfit.sparkpeople.com/lastname.asp?id=671,good
100,freepages.genealogy.rootsweb.ancestry.com/~chesnay/p151.htm,good
101,en.wikipedia.org/wiki/Sam_Adams_(American_football),good
102,ca.askmen.com/women/galleries/model/bianca-beauchamp/picture-1.html,good
103,seetorontonow.com/Visitor/Experience/Attractions/Art-Galleries/Listing.aspx?ID=17920&catID=89&m=Art+Gallery+of+Mississauga,good
104,asian-nation.org/headlines/2009/11/john-liu-asian-american-politician-on-the-rise/,good
105,youtube.com/watch?v=Edom4tREM18,good
106,mylife.com/c-2464454537,good
107,abbreviations.yourdictionary.com/wwsr,good
108,imdb.com/name/nm2342614/,good
109,sourcewatch.org/index.php?title=Royal_Society,good
110,sonypictures.net/,good
111,manta.com/c/mt7wm2s/schoeffler-home-repair-llc,good
112,afterellen.com/tags/jane_s_world,good
113,fandango.com/elliottgould/filmography/p27972,good
114,akron.renttoown.org/,good
115,davidwilcoxrocks.com/news.htm,good
116,southmaroubraslsc.com.au/ClubHonourBoard.aspx,good
117,rev13films.com/,good
118,pipl.com/directory/name/Cergol,good
119,moviefone.com/movie/cowboys-and-aliens/30528/main,good
120,store.geo4wdparts.com/lights/visionx-led-lights.html,good
121,economicexpert.com/a/Philip:VI:of:France.htm,good
122,rottentomatoes.com/celebrity/dave_goelz/,good
123,manta.com/c/mms6blt/justin-bradley-fncl-staffing,good
124,1199seiu.org/,good
125,espn.go.com/mlb/player/stats/_/id/29719/ray-chang,good
126,en.scientificcommons.org/49383768,good
127,moodexpressions.com/,good
128,blackeyeproductions.com.au/,good
129,assault.it/2009/08/17/fire-flames-photoshop-brushes-download/,good
130,collectsports.com/hockey/montreal-canadiens/,good
131,profilecanada.com/companydetail.cfm?company=2579691_Ecole_Francois_De_Laval_Montral_QC,good
132,spiritus-temporis.com/index/sab.html,good
133,pornvip.us/missy_monroe.html,good
134,petitiononline.com/a4kvaisg/petition.html,good
135,marvel.com/news/story/15133/first_look_captain_america_movie_poster,good
136,epodunk.com/cgi-bin/genInfo.php?locIndex=22728,good
137,arashixdream.com/2010/11/singlepv-cover-scans-arashi-hatenai.html,good
138,chacha.com/question/who-sings-how-far-is-heaven,good
139,pahighways.com/state/PA101-150.html,good
140,linkpendium.com/genealogy/USA/sur/surc-N/surc-Nel/sur-Nelson/,good
141,en.wikipedia.org/wiki/Gift_(Taproot_album),good
142,freedomtowers.blogspot.com/,good
143,discogs.com/artist/Delinquents%2C+The+(3),good
144,companydatabase.org/c/truck-bus-bodies/truck-bodies-manufacturers/,good
145,amazon.com/s?ie=UTF8&rh=n%3A283155%2Cp_27%3ARonald%20MacDonald&field-author=Ronald%20MacDonald&page=1,good
146,letrs.indiana.edu/cgi/t/text/text-idx?c=wright2;cc=wright2;view=text;rgn=main;idno=Wright2-2752%3C,good
147,fcps.schoolwires.com/152910824113818890/blank/browse.asp?a=383&bmdrn=2000&bcob=0&c=54640,good
148,ca.airliquide.com/en/who-we-are/air-liquide-canada.html,good
149,paperbackswap.com/Canadiana-Cookbook-Complete-Jehane-Benoit/book/0919364055/,good
150,manta.com/ic/mt67w78/ca/blanchette-fernand-transport-enr,good
151,trempepiette.fortunecity.com/dat28.htm,good
152,en.wikipedia.org/wiki/Jean-Baptiste-%C3%89ric_Dorion,good
153,zimbio.com/Calen+Carr,good
154,allstarpics.net/pictures/0637675/miss-pettigrew-lives-for-a-day-pics.html,good
155,goodreads.com/author/show/1112218.Tonya_Hurley,good
156,lakersblog.latimes.com/lakersblog/2011/02/james-worthy-to-be-inducted-into-national-collegiate-basketball-hall-of-fame.html,good
157,community.eu.playstation.com/t5/PlayStation-3-Games/SCE-London-studio-makes-poor-games/td-p/10579983,good
158,ccfulham.com/,good
159,viki.com/channels/3401-geet/posts/6217-hindi-language,good
160,mylife.com/c-1476782207,good
161,mp3lyrics.org/a/avantasia/breaking-away/,good
162,supreme.justia.com/us/464/417/,good
163,travelpod.com/ad/Bois_de_Boulogne-Paris,good
164,tswisstime.com/,good
165,artistwiki.com/the-letter-black,good
166,freebase.com/view/en/united_states_district_court,good
167,celebs-porno.com/Lucy_Becker/index1.html,good
168,bebo.com/MyFriends.jsp,good
169,morningside.edu/mustangs/mensbb/index.cfm,good
170,trademarkia.com/jenomycin-72148558.html,good
171,mmajunkie.com/event/724/ufc-117-in-salt-lake-city.mma,good
172,blockbuster.com/browse/movieGenres/drama,good
173,network-cartoon.weebly.com/,good
174,premiersportssolutions.com/,good
175,home.roadrunner.com/~billtx/wilsforddesc.html,good
176,sports.yahoo.com/golf/pga/players/Jimmy+Walker/4170/scorecard/2011/6,good
177,miyako-aishiteru.blogspot.com/,good
178,flickr.com/photos/imagenesdominicanas/4387430530/,good
179,indianasportstalk.com/,good
180,wiki.answers.com/Q/Can_you_fly_from_sydney_to_ayres_rock,good
181,sec.edgar-online.com/vanguard-airlines-inc-de/8-k-current-report-filing/2003/12/04/section7.aspx,good
182,archive.org/stream/historyofclanmac00macf/historyofclanmac00macf_djvu.txt,good
183,bilderberg.org/roundtable/CFR97list.html,good
184,baseball-almanac.com/teamstats/roster.php?y=1975&t=OAK,good
185,hiphopextra.com/2011/05/tiffany-graces-debut-album-naked-singularity/,good
186,cmcgc.com/oba/free/580/Weigl.htm,good
187,seventeen.com/entertainment/features/tonya-hurley-bio,good
188,youtube.com/watch?v=XEd1itQMnx0,good
189,linkedin.com/pub/charles-o-rourke/17/817/973,good
190,classmates.com/directory/school/Roosevelt%20Middle%20School?org=18034291,good
191,ibegin.com/directory/ca/quebec/mirabel/dynamo-logistik-corp-17740-rue-robert-desjarlais/,good
192,spoke.com/info/lindex-person/fl-fort+pierce-1,good
193,anodynerecords.com/bands/architects/,good
194,en.wikipedia.org/wiki/Festival_du_Monde_Arabe_de_Montr%C3%A9al,good
195,genforum.com/cgi-bin/print.cgi?adams::13675.html,good
196,childrenandnature.org/news/detail/new_york_times_the_case_for_natural_happiness,good
197,stevespitz.com/index.php?op=television&section=livingbetter&all=1,good
