,Unnamed: 0,numServices,robots,totalscans,detections,vt_class,entropy,numDigits,urlLength,numParams,hasHttp,hasHttps,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,ext,dsr,dse,sscr,sbr,bscr
0,0,0,False,76,6,Benign,-4.316047820731587,2,90,0,True,False,0,0,0,0,0,0,com,5789,54,0.0,0.0,0.0
1,1,2,False,76,6,Benign,-4.389681184403285,6,92,0,True,False,21793,6,7,124,17321,6426,com,9052,443,2.6954559601618424,0.7947964942871564,0.2948653237278025
2,2,8,False,76,5,Benign,-4.550597127160446,29,115,0,True,False,13372,91,31,181,8248,3163,html,6692,1708,2.607650964274423,0.6168112473825905,0.23653903679329943
3,3,0,False,0,0,Benign,-4.101808533858618,0,47,0,True,False,0,0,0,0,0,0,html,84,282,0.0,0.0,0.0
4,4,1,False,71,7,Benign,-4.633751694709164,14,96,5,True,False,0,0,0,0,0,0,php?name1st=%E3%82%8A&all=1&all2=1&all3=1&all4=1&p=11,5091,1848,0.0,0.0,0.0
5,5,3,False,66,7,Benign,-4.587894784807008,6,96,0,True,False,17750,17,1,105,10801,4845,org,0,0,2.229308565531476,0.6085070422535211,0.2729577464788732
6,6,6,False,76,12,Malicious,-3.5739348962840563,0,24,0,True,False,952,9,0,2,0,187,top,0,0,0.0,0.0,0.19642857142857142
7,7,2,False,66,7,Benign,-4.502808498333803,0,117,0,True,False,21985,7,51,320,14402,5986,com,6551,1118,2.405947210157033,0.6550830111439618,0.27227655219467817
8,8,2,False,71,19,Malicious,-4.326864295733005,1,52,0,False,True,0,0,0,0,0,0,net,2210,346,0.0,0.0,0.0
9,9,2,False,76,5,Benign,-4.777056047630467,16,91,0,False,True,43148,31,35,110,37207,14172,com,8831,1031,2.625388089189952,0.8623111152312969,0.32845091313618247
10,10,2,False,76,7,Benign,-5.749470844670171,80,577,0,True,False,18457,5,7,20,3864,3857,com,1459,1,1.0018148820326678,0.20935146556861894,0.20897220566722652
